"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6","Source","Hit.accession","Hit.description","Query.length","Hit.length","Max.bit.score","Total.bit.score","Identity","Identity..","Coverage..","Expect","GO.terms","log2FoldChange_Sym0_Apo0","padj_Sym0_Apo0","TM_Helices","Enrichment"
"AIPGENE10412",NA,NA,NA,NA,25.2647023660322,25.628862202111,24.4313279386946,25.5640051938208,26.0282205232895,25.7540425841962,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|P54612|2AAA_PIG","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Sus scrofa GN=PPP2R1A PE=2 SV=2",587,589,917.92,1005.73,"548/995","55.08%","99.83%",0,"""GO:0000159,GO:0000775,GO:0003674,GO:0003823,GO:0003824,GO:0004721,GO:0004722,GO:0005488,GO:0005515,GO:0005575,GO:0005694,GO:0005737,GO:0005829,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0007059,GO:0008150,GO:0008152,GO:0008287,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0010941,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0023051,GO:0023056,GO:0032991,GO:0032993,GO:0036211,GO:0042578,GO:0042981,GO:0043067,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0046982,GO:0046983,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0065007,GO:0070262,GO:0071704,GO:1902494,GO:2001233,GO:2001235,GO:2001236,GO:2001238,GO:2001239,GO:2001241""",0.620344390450618,8.96705083772805e-07,"0","ConEnriched"
"AIPGENE10518",NA,NA,NA,NA,23.4078863538421,25.0356337619542,24.6933852599344,25.633038713281,25.0765574929318,25.4122887412194,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|P53619|COPD_BOVIN","Coatomer subunit delta OS=Bos taurus GN=ARCN1 PE=1 SV=1",515,511,702.59,702.59,"339/521","65.07%","99.81%",0,"""GO:0000139,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005737,GO:0005783,GO:0005794,GO:0005798,GO:0006810,GO:0006886,GO:0006890,GO:0006891,GO:0007610,GO:0007626,GO:0008150,GO:0008344,GO:0012506,GO:0015031,GO:0016020,GO:0016023,GO:0016192,GO:0021691,GO:0021700,GO:0030117,GO:0030119,GO:0030120,GO:0030126,GO:0030131,GO:0030135,GO:0030137,GO:0030534,GO:0030659,GO:0030660,GO:0030662,GO:0030663,GO:0031090,GO:0031410,GO:0031982,GO:0031988,GO:0032501,GO:0032502,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043473,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044708,GO:0044765,GO:0044767,GO:0045184,GO:0046907,GO:0048193,GO:0050896,GO:0051234,GO:0051649,GO:0071695,GO:0071702,GO:0098588,GO:1902582""",0.727740072661033,7.0488056492025e-07,"0","ConEnriched"
"AIPGENE1052",NA,NA,NA,NA,20.6087014993176,20.472836515419,20.7347838336758,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|A1A4J8|SCO1_BOVIN","""Protein SCO1 homolog, mitochondrial OS=Bos taurus GN=SCO1 PE=2 SV=1""",259,305,194.13,194.13,"95/176","53.98%","67.95%",2.23e-58,"""GO:0000041,GO:0003674,GO:0005488,GO:0005507,GO:0005575,GO:0005739,GO:0005743,GO:0006461,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0006873,GO:0006875,GO:0006878,GO:0008150,GO:0008535,GO:0009987,GO:0016020,GO:0016043,GO:0017004,GO:0019725,GO:0019866,GO:0022607,GO:0030001,GO:0030003,GO:0030016,GO:0031090,GO:0031966,GO:0034622,GO:0042592,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043292,GO:0043623,GO:0043933,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046872,GO:0046914,GO:0046916,GO:0048878,GO:0050801,GO:0051234,GO:0055065,GO:0055070,GO:0055076,GO:0055080,GO:0055082,GO:0065003,GO:0065007,GO:0065008,GO:0071822,GO:0071840""",NA,NA,"1","ConEnriched"
"AIPGENE10527",NA,NA,NA,NA,25.359053222138,23.7749628027652,24.4441151285481,24.1451015786527,26.2073942288114,NA,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|O35136|NCAM2_MOUSE","Neural cell adhesion molecule 2 OS=Mus musculus GN=Ncam2 PE=2 SV=1",703,837,117.47,117.47,"163/697","23.39%","93.03%",6.43e-26,"""GO:0003008,GO:0005575,GO:0005886,GO:0007155,GO:0007413,GO:0007600,GO:0007606,GO:0007608,GO:0008037,GO:0008038,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0022610,GO:0030424,GO:0031225,GO:0032501,GO:0042995,GO:0043005,GO:0044425,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0050877,GO:0097458""",NA,NA,"0","ConEnriched"
"AIPGENE10529",NA,NA,NA,NA,20.2293698951504,22.3549462221594,23.0562312774413,23.2611524137977,22.8749111428158,22.4933203227823,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q96RQ3|MCCA_HUMAN","""Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=3""",716,725,854.36,854.36,"408/673","60.62%","93.99%",0,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0004075,GO:0004485,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005739,GO:0005743,GO:0005759,GO:0005829,GO:0006082,GO:0006520,GO:0006551,GO:0006552,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009081,GO:0009083,GO:0009374,GO:0009987,GO:0016020,GO:0016054,GO:0016421,GO:0016874,GO:0016879,GO:0016885,GO:0017076,GO:0019752,GO:0019842,GO:0019866,GO:0030554,GO:0031090,GO:0031406,GO:0031966,GO:0031974,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0033218,GO:0033293,GO:0034641,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046395,GO:0046483,GO:0046872,GO:0051186,GO:0070013,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1901681""",NA,NA,"0","ConEnriched"
"AIPGENE10532",NA,NA,NA,NA,24.0405545407599,23.4702455108866,23.8835602536929,24.6934702090572,24.4802042900439,23.3720575754129,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q66HG5|TM9S2_RAT","Transmembrane 9 superfamily member 2 OS=Rattus norvegicus GN=Tm9sf2 PE=2 SV=1",650,663,941.8,941.8,"442/636","69.50%","97.38%",0,"""GO:0003674,GO:0005575,GO:0005768,GO:0008150,GO:0010008,GO:0016020,GO:0016021,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0098588""",NA,NA,"9","ConEnriched"
"AIPGENE10535",NA,NA,NA,NA,24.3482844692086,25.6796283546872,25.1124447412269,25.5415554357148,25.1394789957968,25.2961210655988,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q62829|PAK3_RAT","Serine/threonine-protein kinase PAK 3 OS=Rattus norvegicus GN=Pak3 PE=1 SV=1",526,544,696.43,696.43,"367/545","67.34%","99.81%",0,"""GO:0000165,GO:0000166,GO:0000187,GO:0001882,GO:0001883,GO:0001932,GO:0001934,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004708,GO:0004712,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005737,GO:0005768,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0007165,GO:0007275,GO:0007409,GO:0008064,GO:0008150,GO:0008152,GO:0009653,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010556,GO:0010557,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010769,GO:0010941,GO:0010942,GO:0010975,GO:0016043,GO:0016301,GO:0016310,GO:0016358,GO:0016740,GO:0016772,GO:0016773,GO:0017016,GO:0017048,GO:0017076,GO:0017124,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019904,GO:0022603,GO:0022604,GO:0023014,GO:0023051,GO:0023056,GO:0030030,GO:0030554,GO:0030832,GO:0030833,GO:0031175,GO:0031267,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031399,GO:0031401,GO:0032147,GO:0032268,GO:0032270,GO:0032271,GO:0032501,GO:0032502,GO:0032535,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0033043,GO:0033674,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0042325,GO:0042327,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043254,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043523,GO:0043525,GO:0043549,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0045595,GO:0045664,GO:0045859,GO:0045860,GO:0045935,GO:0045937,GO:0046872,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048812,GO:0048814,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051020,GO:0051052,GO:0051054,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051239,GO:0051246,GO:0051247,GO:0051338,GO:0051347,GO:0051493,GO:0051716,GO:0051960,GO:0060255,GO:0060284,GO:0060998,GO:0060999,GO:0061001,GO:0061003,GO:0065007,GO:0065008,GO:0065009,GO:0071704,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0090066,GO:0097159,GO:0097367,GO:1901214,GO:1901216,GO:1901265,GO:1901363,GO:1902531,GO:1902533,GO:2000026,GO:2000112,GO:2000278,GO:2000573""",NA,NA,"0","ConEnriched"
"AIPGENE10560",NA,NA,NA,NA,23.6917647383249,24.1508241889401,23.4027572076335,22.7816918554993,22.7022183420121,24.0406211621651,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|A8XWX5|CPG2_CAEBR","Chondroitin proteoglycan 2 OS=Caenorhabditis briggsae GN=cpg-2 PE=3 SV=2",814,491,89.35,452.14,"546/2429","22.48%","93.86%",2.64e-17,"""GO:0000281,GO:0000910,GO:0003674,GO:0005488,GO:0005575,GO:0005576,GO:0006022,GO:0006030,GO:0006040,GO:0006807,GO:0007049,GO:0007275,GO:0008061,GO:0008150,GO:0008152,GO:0009790,GO:0009987,GO:0022402,GO:0032501,GO:0032502,GO:0043170,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0048856,GO:0051301,GO:0071704,GO:0097367,GO:1901071,GO:1901135,GO:1901564,GO:1903047""",-0.733738774940302,4.03482477303731e-06,"0","ConEnriched"
"AIPGENE10586",NA,NA,NA,NA,25.1111864940146,25.6223990972235,25.4405118933137,25.4780420427365,24.7259477362374,25.2994291104933,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q20655|14332_CAEEL","14-3-3-like protein 2 OS=Caenorhabditis elegans GN=ftt-2 PE=1 SV=1",194,248,225.71,225.71,"117/184","63.59%","94.33%",2.94e-72,"""GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0005737,GO:0019904,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464""",0.445566160930141,0.0272107917403189,"0","ConEnriched"
"AIPGENE10619",NA,NA,NA,NA,23.80505094454,22.7537205289361,22.8256320068043,21.4815689662441,22.3540416211945,NA,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q63ZU0|ADA_XENTR","Adenosine deaminase OS=Xenopus tropicalis GN=ada PE=2 SV=1",397,358,347.44,347.44,"178/353","50.42%","88.66%",3.29e-115,"""GO:0001775,GO:0002376,GO:0003674,GO:0003824,GO:0004000,GO:0005488,GO:0005575,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006144,GO:0006152,GO:0006154,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008277,GO:0009056,GO:0009058,GO:0009112,GO:0009113,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009156,GO:0009161,GO:0009163,GO:0009164,GO:0009167,GO:0009168,GO:0009897,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0016020,GO:0016787,GO:0016810,GO:0016814,GO:0018130,GO:0019239,GO:0019438,GO:0019439,GO:0019637,GO:0023051,GO:0023057,GO:0030054,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0034641,GO:0034654,GO:0034655,GO:0042110,GO:0042278,GO:0042440,GO:0042451,GO:0042454,GO:0042455,GO:0043094,GO:0043096,GO:0043101,GO:0043103,GO:0043167,GO:0043169,GO:0043226,GO:0043229,GO:0043233,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044699,GO:0044710,GO:0044711,GO:0044712,GO:0044763,GO:0045321,GO:0045744,GO:0046085,GO:0046100,GO:0046101,GO:0046102,GO:0046103,GO:0046112,GO:0046128,GO:0046129,GO:0046130,GO:0046148,GO:0046483,GO:0046649,GO:0046700,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0055086,GO:0060167,GO:0060169,GO:0060205,GO:0065007,GO:0071704,GO:0072521,GO:0072522,GO:0072523,GO:0090407,GO:0098552,GO:1901135,GO:1901136,GO:1901137,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659""",NA,NA,"0","ConEnriched"
"AIPGENE10623",NA,NA,NA,NA,25.248535450231,25.3346605220319,25.331860647018,25.3783888606879,24.9656003375064,25.9552682031048,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q96PP9|GBP4_HUMAN","Guanylate-binding protein 4 OS=Homo sapiens GN=GBP4 PE=1 SV=2",567,640,162.16,162.16,"161/576","27.95%","97.88%",1.64e-41,"""GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005634,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:0097159,GO:0097367,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658""",-1.08625315507655,4.15500069315268e-07,"0","ConEnriched"
"AIPGENE10649",NA,NA,NA,NA,22.0838966705992,22.6358369108881,23.2044881603927,NA,23.1942365459416,NA,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|P56571|ES1_RAT","""ES1 protein homolog, mitochondrial OS=Rattus norvegicus PE=1 SV=2""",253,266,320.86,320.86,"154/232","66.38%","91.30%",2.32e-108,"""GO:0003674,GO:0005575,GO:0005739,GO:0008150,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464""",0.697735710935642,0.00044791453366898,"0","ConEnriched"
"AIPGENE10679",NA,NA,NA,NA,22.8424307599181,NA,23.5586802221381,23.0819864065187,22.6552239914098,22.4523945471483,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q8WXF0|SRS12_HUMAN","Serine/arginine-rich splicing factor 12 OS=Homo sapiens GN=SRSF12 PE=2 SV=1",95,261,112.08,112.08,"55/100","55.00%","97.89%",8.14e-30,"""GO:0000166,GO:0000244,GO:0000381,GO:0000387,GO:0000395,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0005654,GO:0006139,GO:0006376,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0008380,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0016043,GO:0016070,GO:0016071,GO:0016482,GO:0019219,GO:0019222,GO:0019904,GO:0022607,GO:0022618,GO:0031323,GO:0031324,GO:0033119,GO:0034622,GO:0034641,GO:0036094,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043484,GO:0043933,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044822,GO:0045934,GO:0046483,GO:0046907,GO:0048024,GO:0048025,GO:0048519,GO:0048523,GO:0050684,GO:0050686,GO:0050733,GO:0050789,GO:0050794,GO:0051082,GO:0051171,GO:0051172,GO:0051234,GO:0051252,GO:0051253,GO:0051649,GO:0060255,GO:0065003,GO:0065007,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901363""",-0.609312382459932,0.006075241667131,"0","ConEnriched"
"AIPGENE10708",NA,NA,NA,NA,NA,NA,NA,22.5517879802268,23.0294030475826,23.0567954427494,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|A8E5V9|STING_XENTR","Stimulator of interferon genes protein OS=Xenopus tropicalis GN=tmem173 PE=2 SV=1",104,329,63.93,63.93,"31/69","44.93%","66.35%",6.49e-12,"""GO:0000166,GO:0001816,GO:0001817,GO:0001819,GO:0002218,GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005739,GO:0005741,GO:0005783,GO:0005789,GO:0005886,GO:0006915,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008219,GO:0009605,GO:0009607,GO:0009615,GO:0009987,GO:0012501,GO:0016020,GO:0016021,GO:0016265,GO:0017076,GO:0019001,GO:0019867,GO:0030551,GO:0031090,GO:0031347,GO:0031349,GO:0031966,GO:0031968,GO:0032479,GO:0032481,GO:0032501,GO:0032553,GO:0032555,GO:0032561,GO:0032606,GO:0032608,GO:0035438,GO:0036094,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0045087,GO:0045088,GO:0045089,GO:0046983,GO:0048471,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0051239,GO:0051240,GO:0051607,GO:0051704,GO:0051707,GO:0061507,GO:0065007,GO:0080134,GO:0097159,GO:0097367,GO:0098542,GO:0098588,GO:0098589,GO:1901265,GO:1901363""",0.505741104040703,0.030597772910458,"0","ConEnriched"
"AIPGENE10773",NA,NA,NA,NA,24.4150657250074,24.5655615484604,24.1493468545015,22.7188781606107,24.0222176639287,23.1698089770715,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q9H720|PG2IP_HUMAN","PGAP2-interacting protein OS=Homo sapiens GN=CWH43 PE=2 SV=2",183,699,222.63,222.63,"103/168","61.31%","91.80%",6.57e-67,"""GO:0005575,GO:0006464,GO:0006497,GO:0006505,GO:0006506,GO:0006629,GO:0006643,GO:0006644,GO:0006650,GO:0006661,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009247,GO:0009987,GO:0016020,GO:0016021,GO:0019538,GO:0019637,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044425,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0045017,GO:0046467,GO:0046474,GO:0046486,GO:0046488,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901576""",NA,NA,"0","ConEnriched"
"AIPGENE10899",NA,NA,NA,NA,25.0557123592589,24.1112014962911,23.7314115423623,23.7522578513744,22.7051701657457,22.5575294635328,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|P09874|PARP1_HUMAN","Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4",2451,1014,219.16,219.16,"166/523","31.74%","20.44%",1.62e-56,"""GO:0000122,GO:0000166,GO:0000723,GO:0002521,GO:0002573,GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0003824,GO:0003950,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0005635,GO:0005654,GO:0005667,GO:0005730,GO:0005975,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006302,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006464,GO:0006471,GO:0006486,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0008134,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009719,GO:0009725,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010243,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010647,GO:0016020,GO:0016043,GO:0016070,GO:0016485,GO:0016540,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0023019,GO:0023051,GO:0023056,GO:0030099,GO:0030154,GO:0030225,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031967,GO:0031975,GO:0032200,GO:0032386,GO:0032388,GO:0032502,GO:0032774,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0036094,GO:0036211,GO:0040008,GO:0040009,GO:0042221,GO:0042306,GO:0042307,GO:0042592,GO:0042769,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043388,GO:0043412,GO:0043413,GO:0043434,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044723,GO:0044763,GO:0044767,GO:0044822,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046332,GO:0046483,GO:0046822,GO:0046824,GO:0046872,GO:0046914,GO:0047485,GO:0048037,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048869,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051050,GO:0051098,GO:0051099,GO:0051101,GO:0051171,GO:0051172,GO:0051173,GO:0051222,GO:0051223,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0051287,GO:0051604,GO:0051606,GO:0051716,GO:0060249,GO:0060255,GO:0060341,GO:0060390,GO:0060391,GO:0065007,GO:0065008,GO:0065009,GO:0070085,GO:0070201,GO:0070212,GO:0070412,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071375,GO:0071417,GO:0071495,GO:0071559,GO:0071560,GO:0071704,GO:0071840,GO:0080090,GO:0090092,GO:0090100,GO:0090304,GO:0090316,GO:0097159,GO:1900180,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902589,GO:1902679,GO:1902680,GO:2000112,GO:2000113,GO:2000677,GO:2000679,GO:2001141""",-1.20372993393798,2.68484129948138e-17,"0","ConEnriched"
"AIPGENE10921",NA,NA,NA,NA,NA,22.5538794670229,22.7540856395502,22.7827781729002,NA,NA,NA,NA,NA,NA,NA,NA,"Swiss-Prot","sp|Q9D0S9|HINT2_MOUSE","""Histidine triad nucleotide-binding protein 2, mitochondrial OS=Mus musculus GN=Hint2 PE=1 SV=1""",131,163,148.67,148.67,"63/112","56.25%","85.50%",2.22e-44,"""GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005739,GO:0006629,GO:0006694,GO:0006915,GO:0008150,GO:0008152,GO:0008202,GO:0008219,GO:0008610,GO:0009058,GO:0009987,GO:0012501,GO:0016265,GO:0016787,GO:0036094,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0071704,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576""",0.884045980438419,1.70310382227632e-06,"0","ConEnriched"
