Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Symbiosome_1 Spectral Count	Symbiosome_2 Spectral Count	Symbiosome_3 Spectral Count	Symbiosome_4 Spectral Count	Symbiosome_5 Spectral Count	Symbiosome_6 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Symbiosome_1 Unique Spectral Count	Symbiosome_2 Unique Spectral Count	Symbiosome_3 Unique Spectral Count	Symbiosome_4 Unique Spectral Count	Symbiosome_5 Unique Spectral Count	Symbiosome_6 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Symbiosome_1 Total Spectral Count	Symbiosome_2 Total Spectral Count	Symbiosome_3 Total Spectral Count	Symbiosome_4 Total Spectral Count	Symbiosome_5 Total Spectral Count	Symbiosome_6 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Symbiosome_1 Intensity	Symbiosome_2 Intensity	Symbiosome_3 Intensity	Symbiosome_4 Intensity	Symbiosome_5 Intensity	Symbiosome_6 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Symbiosome_1 MaxLFQ Intensity	Symbiosome_2 MaxLFQ Intensity	Symbiosome_3 MaxLFQ Intensity	Symbiosome_4 MaxLFQ Intensity	Symbiosome_5 MaxLFQ Intensity	Symbiosome_6 MaxLFQ Intensity	Indistinguishable Proteins
AIPGENE10143	AIPGENE10143	AIPGENE10143		618			AIPGENE10143	1.0	0.999	13	109	109	109	19	6	17	13	12	5	4	8	7	6	5	7	19	6	17	13	12	5	4	8	7	6	5	7	19	6	17	13	12	5	4	8	7	6	5	7	2.47659616E8	1.77887232E8	2.18158544E8	2.07722816E8	1.44724848E8	1.583292E8	5.3300524E7	5.6726984E7	8.21324E7	2.4787206E7	4.2192872E7	4.7735888E7	7.9426168E7	6.7210504E7	7.5519816E7	7.6264608E7	5.366494E7	5.9595452E7	2.9500526E7	4.2122132E7	6.7983568E7	1.6047003E7	2.718859E7	2.4795866E7	
AIPGENE10146	AIPGENE10146	AIPGENE10146		540			AIPGENE10146	0.6266	0.9866	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE7928
AIPGENE10178	AIPGENE10178	AIPGENE10178		646			AIPGENE10178	0.8486	0.996	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10179	AIPGENE10179	AIPGENE10179		483			AIPGENE10179	1.0	0.9913	2	5	5	5	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0.0	0.0	0.0	7361037.0	9193389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10188	AIPGENE10188	AIPGENE10188		393			AIPGENE10188	1.0	0.9982	6	22	22	22	7	1	2	5	6	1	0	0	0	0	0	0	7	1	2	5	6	1	0	0	0	0	0	0	7	1	2	5	6	1	0	0	0	0	0	0	9220763.0	7422563.0	3801455.2	1.2343551E7	1.3431845E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4748422.0	4199970.5	0.0	4607521.0	7859260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10210	AIPGENE10210	AIPGENE10210		121			AIPGENE10210	0.878	0.9968	1	8	8	8	1	1	3	0	1	1	0	0	1	0	0	0	1	1	3	0	1	1	0	0	1	0	0	0	1	1	3	0	1	1	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10274	AIPGENE10274	AIPGENE10274		148			AIPGENE10274	1.0	0.9987	4	23	23	23	5	2	2	5	8	1	0	0	0	0	0	0	5	2	2	5	8	1	0	0	0	0	0	0	5	2	2	5	8	1	0	0	0	0	0	0	2.6120052E7	1.751607E7	2.2454968E7	2.2004406E7	2.5541786E7	1.0448922E7	0.0	0.0	0.0	0.0	0.0	0.0	1.3926102E7	1.0857936E7	1.503458E7	1.371995E7	3.7754192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10288	AIPGENE10288	AIPGENE10288		2001			AIPGENE10288	1.0	0.9979	4	6	6	6	0	1	0	2	3	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10361	AIPGENE10361	AIPGENE10361		1271			AIPGENE10361	1.0	0.9981	3	7	7	7	3	0	0	2	2	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	2453030.0	0.0	5192336.0	7440101.0	7931326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4113316.0	4368974.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE1040	AIPGENE1040	AIPGENE1040		848			AIPGENE1040	1.0	0.9985	6	27	0	27	0	0	0	1	0	0	3	4	11	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	4	11	1	6	1	1.0557984E7	0.0	0.0	5585244.5	0.0	0.0	2.8888524E7	2.4986748E7	1.03495704E8	0.0	3.6234044E7	6199058.5	0.0	0.0	0.0	0.0	0.0	0.0	1.3300722E7	2.7802568E7	3.5212212E7	0.0	1.088682E7	0.0	AIPGENE1041, AIPGENE1042, AIPGENE1043
AIPGENE10412	AIPGENE10412	AIPGENE10412		586			AIPGENE10412	1.0	0.999	13	81	81	81	19	8	10	13	20	11	0	0	0	0	0	0	19	8	10	13	20	11	0	0	0	0	0	0	19	8	10	13	20	11	0	0	0	0	0	0	7.1500576E7	8.1985664E7	3.764468E7	8.431296E7	1.121644E8	6.5307472E7	0.0	0.0	0.0	0.0	0.0	0.0	1.4308871E7	1.7681798E7	1.5755267E7	1.9361948E7	2.1095206E7	1.5200406E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10493	AIPGENE10493	AIPGENE10493		447			AIPGENE10493	1.0	0.999	23	163	12	629	26	17	16	28	28	17	6	4	10	2	4	5	4	1	2	1	3	1	0	0	0	0	0	0	123	56	83	94	116	71	17	13	28	6	10	12	4.15643072E8	4.091632E8	4.74810336E8	5.02368224E8	6.7354054E8	4.73204064E8	3.3892816E7	3.2509036E7	8.927332E7	1.7328066E7	3.3973992E7	1.2187457E7	1.27742392E8	1.20725184E8	1.44656464E8	1.62904928E8	1.9987384E8	1.58382928E8	2.4036802E7	2.319088E7	5.3486792E7	0.0	1.840805E7	0.0	
AIPGENE10494	AIPGENE10494	AIPGENE10494		631			AIPGENE10494	1.0	0.999	14	78	78	78	13	12	11	16	13	8	0	1	3	0	0	1	13	12	11	16	13	8	0	1	3	0	0	1	13	12	11	16	13	8	0	1	3	0	0	1	1.20062152E8	1.11311984E8	9.4888016E7	1.17889392E8	6.0014652E7	8.404928E7	0.0	0.0	5.1650572E7	0.0	0.0	0.0	2.8977844E7	2.5411E7	2.920575E7	3.158584E7	2.7148594E7	2.7282186E7	0.0	0.0	3.2560824E7	0.0	0.0	0.0	
AIPGENE10504	AIPGENE10504	AIPGENE10504		621			AIPGENE10504	1.0	0.999	24	281	281	281	26	12	19	25	27	22	31	24	35	20	20	20	26	12	19	25	27	22	31	24	35	20	20	20	26	12	19	25	27	22	31	24	35	20	20	20	2.36421408E8	1.80050144E8	2.25427712E8	2.14106352E8	2.77225376E8	2.04352512E8	3.38742976E8	2.00594992E8	5.7865715E8	1.69099552E8	1.70224448E8	1.39345184E8	4.7427324E7	4.3472996E7	5.0776496E7	4.7074972E7	5.0709252E7	5.3206444E7	6.8393432E7	6.0873932E7	1.01716496E8	4.0295892E7	4.116696E7	4.5065968E7	
AIPGENE10518	AIPGENE10518	AIPGENE10518		514			AIPGENE10518	1.0	0.9989	13	60	60	60	12	3	7	15	14	9	0	0	0	0	0	0	12	3	7	15	14	9	0	0	0	0	0	0	12	3	7	15	14	9	0	0	0	0	0	0	1.6864828E7	4.572936E7	3.9661544E7	8.1589688E7	5.3346236E7	4.4778232E7	0.0	0.0	0.0	0.0	0.0	0.0	1.074685E7	1.2196088E7	1.1810698E7	1.5070504E7	1.2456671E7	1.2285697E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10519	AIPGENE10519	AIPGENE10519		700			AIPGENE10519	1.0	0.9984	2	21	21	21	4	2	3	1	2	2	1	2	1	0	2	1	4	2	3	1	2	2	1	2	1	0	2	1	4	2	3	1	2	2	1	2	1	0	2	1	3.517528E7	3.1915254E7	2.2005936E7	1.5364205E7	1.5041432E7	1.5192133E7	9112350.0	3.0419584E7	1.9291806E7	0.0	8971344.0	9338682.0	2.4016736E7	2.1286258E7	1.4819405E7	0.0	0.0	0.0	0.0	2.2300684E7	0.0	0.0	0.0	0.0	
AIPGENE1052	AIPGENE1052	AIPGENE1052		258			AIPGENE1052	0.9024	0.9975	1	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1575206.1	1009550.25	1390258.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10527	AIPGENE10527	AIPGENE10527		702			AIPGENE10527	1.0	0.9989	8	35	35	35	12	2	3	6	10	2	0	0	0	0	0	0	12	2	3	6	10	2	0	0	0	0	0	0	12	2	3	6	10	2	0	0	0	0	0	0	6.4461912E7	2.0965668E7	2.726173E7	2.8893564E7	1.01336128E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.687816E7	1.2705686E7	0.0	1.5763394E7	4.331192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10529	AIPGENE10529	AIPGENE10529		715			AIPGENE10529	1.0	0.9982	4	19	0	19	3	1	4	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	5	5	1	0	0	0	0	0	0	9997482.0	4617107.0	8013360.0	1.0343872E7	8065598.0	5198663.5	0.0	0.0	0.0	0.0	0.0	0.0	5713570.0	0.0	0.0	4615475.0	6885050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10530
AIPGENE10532	AIPGENE10532	AIPGENE10532		649			AIPGENE10532	1.0	0.9989	4	25	25	25	7	1	5	7	3	2	0	0	0	0	0	0	7	1	5	7	3	2	0	0	0	0	0	0	7	1	5	7	3	2	0	0	0	0	0	0	2.1194356E7	1.2456256E7	1.8198902E7	3.4825792E7	2.920791E7	9705993.0	0.0	0.0	0.0	0.0	0.0	0.0	9663718.0	0.0	1.3121478E7	2.0216026E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10535	AIPGENE10535	AIPGENE10535		525			AIPGENE10535	1.0	0.999	14	74	0	74	10	15	6	20	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	6	20	15	8	0	0	0	0	0	0	3.5214216E7	7.83214E7	5.6189744E7	8.2533688E7	5.9961844E7	4.4596076E7	0.0	0.0	0.0	0.0	0.0	0.0	1.873258E7	4.2986756E7	2.9596454E7	2.9648066E7	2.208323E7	1.8676264E7	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10536
AIPGENE10541	AIPGENE10541	AIPGENE10541		517			AIPGENE10541	0.6435	0.9875	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10546	AIPGENE10546	AIPGENE10546		1922			AIPGENE10546	0.9938	0.9976	1	4	4	4	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	3381741.5	0.0	0.0	4991311.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10560	AIPGENE10560	AIPGENE10560		813			AIPGENE10560	1.0	0.9979	1	5	5	5	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1.5105149E7	1.859349E7	1.203553E7	8252064.0	7759218.5	1.5299885E7	0.0	0.0	0.0	0.0	0.0	0.0	1.1750336E7	1.4269411E7	7129347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10564	AIPGENE10564	AIPGENE10564		215			AIPGENE10564	1.0	0.9987	6	80	80	80	6	4	6	6	8	5	9	10	7	5	7	7	6	4	6	6	8	5	9	10	7	5	7	7	6	4	6	6	8	5	9	10	7	5	7	7	3.2455586E7	1.4712972E7	2.334325E7	4.6691868E7	3.4255528E7	2.6847776E7	5.1147408E7	6.1555356E7	7.4660272E7	3.0206896E7	4.313094E7	2.5868802E7	1.0529239E7	8460042.0	8800995.0	1.5028463E7	1.2654702E7	9714272.0	1.6142559E7	2.3973062E7	2.8925112E7	1.1614147E7	1.3323099E7	1.4774572E7	
AIPGENE10584	AIPGENE10584	AIPGENE10584		443			AIPGENE10584	0.6215	0.9863	1	3	3	3	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10586	AIPGENE10586	AIPGENE10586		193			AIPGENE10586	1.0	0.9989	14	67	67	115	13	10	7	14	11	12	0	0	0	0	0	0	13	10	7	14	11	12	0	0	0	0	0	0	18	17	15	22	18	17	1	1	2	1	2	1	7.328108E7	7.7414792E7	7.2443336E7	7.6606992E7	4.5708124E7	4.5469312E7	0.0	0.0	0.0	0.0	0.0	0.0	2.5478394E7	2.3500224E7	1.843179E7	2.3609294E7	1.6797724E7	1.9054436E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10587	AIPGENE10587	AIPGENE10587		244			AIPGENE10587	1.0	0.999	22	253	196	253	48	37	31	47	41	30	3	3	4	3	3	3	41	30	22	36	31	25	2	2	2	2	1	2	48	37	31	47	41	30	3	3	4	3	3	3	1.25807898E9	1.09282842E9	9.0766035E8	1.40039565E9	1.01645434E9	9.7379034E8	4.3438192E7	1.8949838E7	8.865584E7	2.3990276E7	2.1597474E7	2.0579422E7	2.25386864E8	2.08576992E8	1.7446136E8	2.6438424E8	1.82228512E8	1.92175104E8	2.164192E7	0.0	6.7613824E7	1.829247E7	1.6914812E7	1.6054764E7	
AIPGENE10606	AIPGENE10606	AIPGENE10606		244			AIPGENE10606	1.0	0.9989	14	83	83	140	13	16	10	12	15	10	2	1	0	2	1	1	13	16	10	12	15	10	2	1	0	2	1	1	20	23	19	23	25	15	3	2	2	3	3	2	2.78762432E8	1.76027488E8	2.06390304E8	2.1818856E8	1.68138272E8	1.62306944E8	1.64507E7	1.8675038E7	0.0	7336348.5	7159593.5	1.4584817E7	1.86448896E8	1.06498048E8	1.03874408E8	1.31694352E8	9.6746672E7	1.10728232E8	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10618	AIPGENE10618	AIPGENE10618		234			AIPGENE10618	1.0	0.999	21	187	187	244	54	19	27	31	32	24	0	0	0	0	0	0	54	19	27	31	32	24	0	0	0	0	0	0	61	26	36	42	42	29	1	1	2	1	2	1	1.88098624E9	2.11682355E9	1.58912474E9	1.8952951E9	1.60419021E9	1.52063002E9	5700823.0	7879501.5	3.9433112E7	0.0	0.0	0.0	1.24266022E9	1.15906445E9	9.0024102E8	1.25005363E9	9.5054598E8	1.00659085E9	0.0	0.0	6.7031512E7	0.0	0.0	0.0	
AIPGENE10619	AIPGENE10619	AIPGENE10619		396			AIPGENE10619	1.0	0.9986	3	14	14	14	6	2	0	2	2	2	0	0	0	0	0	0	6	2	0	2	2	2	0	0	0	0	0	0	6	2	0	2	2	2	0	0	0	0	0	0	1.1681071E7	3350723.5	2870290.2	3081462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10623	AIPGENE10623	AIPGENE10623		567			AIPGENE10623	1.0	0.9988	12	25	14	98	5	5	2	6	3	4	0	0	0	0	0	0	3	2	1	3	2	3	0	0	0	0	0	0	16	13	8	24	24	13	0	0	0	0	0	0	6.9179696E7	6.5307016E7	6.8659408E7	7.7357936E7	5.3463032E7	7.3471152E7	0.0	0.0	0.0	0.0	0.0	0.0	3.6695856E7	3.4469104E7	3.636152E7	4.0934732E7	2.8206704E7	3.8965128E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10649	AIPGENE10649	AIPGENE10649		252			AIPGENE10649	1.0	0.9933	3	6	6	6	1	1	1	2	1	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	4591504.0	5866137.0	9679319.0	0.0	1.0294076E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10659	AIPGENE10659	AIPGENE10659		399			AIPGENE10659	1.0	0.999	18	252	0	252	44	31	32	46	56	32	0	3	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	44	31	32	46	56	32	0	3	3	0	2	3	1.19702016E9	1.06021274E9	1.09711744E9	1.30664896E9	1.32776512E9	7.9116262E8	9609478.0	2.9827496E7	4.9790604E7	0.0	7840759.5	9225229.0	2.07047584E8	2.03519408E8	2.09117376E8	2.30300928E8	2.25378192E8	1.53185728E8	0.0	2.4268806E7	3.3098952E7	0.0	4550083.0	0.0	AIPGENE10660, AIPGENE10661
AIPGENE10679	AIPGENE10679	AIPGENE10679		94			AIPGENE10679	0.9066	0.9977	1	10	10	10	4	0	2	1	2	1	0	0	0	0	0	0	4	0	2	1	2	1	0	0	0	0	0	0	4	0	2	1	2	1	0	0	0	0	0	0	7842252.0	0.0	1.2827218E7	9922292.0	7124692.0	5012256.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
