Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Symbiosome_1 Spectral Count	Symbiosome_2 Spectral Count	Symbiosome_3 Spectral Count	Symbiosome_4 Spectral Count	Symbiosome_5 Spectral Count	Symbiosome_6 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Symbiosome_1 Unique Spectral Count	Symbiosome_2 Unique Spectral Count	Symbiosome_3 Unique Spectral Count	Symbiosome_4 Unique Spectral Count	Symbiosome_5 Unique Spectral Count	Symbiosome_6 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Symbiosome_1 Total Spectral Count	Symbiosome_2 Total Spectral Count	Symbiosome_3 Total Spectral Count	Symbiosome_4 Total Spectral Count	Symbiosome_5 Total Spectral Count	Symbiosome_6 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Symbiosome_1 Intensity	Symbiosome_2 Intensity	Symbiosome_3 Intensity	Symbiosome_4 Intensity	Symbiosome_5 Intensity	Symbiosome_6 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Symbiosome_1 MaxLFQ Intensity	Symbiosome_2 MaxLFQ Intensity	Symbiosome_3 MaxLFQ Intensity	Symbiosome_4 MaxLFQ Intensity	Symbiosome_5 MaxLFQ Intensity	Symbiosome_6 MaxLFQ Intensity	Indistinguishable Proteins
AIPGENE10143	AIPGENE10143	AIPGENE10143		618			AIPGENE10143	1.0	0.999	12	110	110	110	19	6	17	13	13	5	4	8	7	6	5	7	19	6	17	13	13	5	4	8	7	6	5	7	19	6	17	13	13	5	4	8	7	6	5	7	2.4765962E8	1.7847053E8	2.174707E8	2.132448E8	1.4543322E8	1.5892698E8	4.8455148E7	4.1144956E7	1.0386087E8	2.6420458E7	3.9507016E7	5.0755456E7	7.8413096E7	6.6982828E7	7.2839096E7	7.66734E7	5.3415628E7	5.852067E7	3.0589306E7	3.458095E7	7.6195704E7	1.7645306E7	2.4683784E7	2.659688E7	
AIPGENE10146	AIPGENE10146	AIPGENE10146		540			AIPGENE10146	0.7897	0.9928	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE7928
AIPGENE10178	AIPGENE10178	AIPGENE10178		646			AIPGENE10178	0.9806	0.9977	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10179	AIPGENE10179	AIPGENE10179		483			AIPGENE10179	0.9979	0.9955	2	5	5	5	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0.0	0.0	0.0	7560914.0	9217439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10188	AIPGENE10188	AIPGENE10188		393			AIPGENE10188	1.0	0.9988	7	23	23	23	7	1	2	5	7	1	0	0	0	0	0	0	7	1	2	5	7	1	0	0	0	0	0	0	7	1	2	5	7	1	0	0	0	0	0	0	9220763.0	7224119.0	3809195.0	1.2986736E7	1.3497808E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4724014.5	4090441.2	0.0	4822687.5	7855867.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10210	AIPGENE10210	AIPGENE10210		121			AIPGENE10210	0.9453	0.9984	1	9	9	9	1	1	3	0	2	1	0	0	1	0	0	0	1	1	3	0	2	1	0	0	1	0	0	0	1	1	3	0	2	1	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10274	AIPGENE10274	AIPGENE10274		148			AIPGENE10274	1.0	0.9989	4	23	23	23	5	2	2	5	8	1	0	0	0	0	0	0	5	2	2	5	8	1	0	0	0	0	0	0	5	2	2	5	8	1	0	0	0	0	0	0	2.0370776E7	1.7623668E7	1.6650093E7	2.2755756E7	2.5607908E7	1.0529088E7	0.0	0.0	0.0	0.0	0.0	0.0	1.3688397E7	1.0488469E7	0.0	1.3488168E7	5.1249144E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10288	AIPGENE10288	AIPGENE10288		2001			AIPGENE10288	1.0	0.9985	4	7	7	7	0	1	1	2	3	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0.0	0.0	4569042.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10361	AIPGENE10361	AIPGENE10361		1271			AIPGENE10361	1.0	0.9981	5	9	9	9	4	0	0	3	2	0	0	0	0	0	0	0	4	0	0	3	2	0	0	0	0	0	0	0	4	0	0	3	2	0	0	0	0	0	0	0	2453030.0	0.0	5202908.0	7827782.0	7950311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4327648.5	4379432.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10389	AIPGENE10389	AIPGENE10389		839			AIPGENE10389	0.8732	0.9961	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE15272, AIPGENE20323, AIPGENE2712, AIPGENE2714, AIPGENE6866, AIPGENE6877, AIPGENE7280
AIPGENE1040	AIPGENE1040	AIPGENE1040		848			AIPGENE1040	1.0	0.9989	6	29	0	29	0	0	0	1	0	1	4	4	12	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	4	12	1	5	1	0.0	0.0	0.0	5876275.0	0.0	9934222.0	3.1177796E7	2.2512788E7	1.0624778E8	0.0	2.739344E7	7208669.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3908691E7	2.4797888E7	3.4993932E7	0.0	1.0190188E7	0.0	AIPGENE1041, AIPGENE1042, AIPGENE1043
AIPGENE10412	AIPGENE10412	AIPGENE10412		586			AIPGENE10412	1.0	0.999	13	85	85	85	20	8	11	14	21	11	0	0	0	0	0	0	20	8	11	14	21	11	0	0	0	0	0	0	20	8	11	14	21	11	0	0	0	0	0	0	7.150058E7	8.240774E7	3.748324E7	9.011463E7	1.1864538E8	6.5884668E7	0.0	0.0	0.0	0.0	0.0	0.0	1.3887446E7	1.7905008E7	1.5702705E7	2.0131744E7	2.224113E7	1.5408629E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10493	AIPGENE10493	AIPGENE10493		447			AIPGENE10493	1.0	0.999	23	167	14	640	26	17	18	29	29	17	6	4	10	2	4	5	4	1	3	1	4	1	0	0	0	0	0	0	124	57	87	96	117	71	17	13	28	7	11	12	4.1564307E8	4.0791373E8	4.5963014E8	5.119333E8	6.8268915E8	4.7586992E8	4.8393336E7	3.9897536E7	9.687416E7	1.5137396E7	3.4045516E7	1.2796251E7	1.2248418E8	1.1812529E8	1.4079568E8	1.656949E8	2.1036418E8	1.5856982E8	3.467491E7	2.0347902E7	5.277874E7	0.0	1.7448998E7	0.0	
AIPGENE10494	AIPGENE10494	AIPGENE10494		631			AIPGENE10494	1.0	0.999	15	86	86	86	15	14	11	17	14	9	0	2	3	0	0	1	15	14	11	17	14	9	0	2	3	0	0	1	15	14	11	17	14	9	0	2	3	0	0	1	1.16672904E8	1.0772967E8	9.455756E7	1.1902334E8	6.954341E7	8.484238E7	3908597.0	1.1086382E7	4.990385E7	0.0	0.0	0.0	2.9262894E7	2.6488416E7	2.8318926E7	3.1614478E7	2.7996044E7	2.75673E7	0.0	0.0	3.1782022E7	0.0	0.0	0.0	
AIPGENE10504	AIPGENE10504	AIPGENE10504		621			AIPGENE10504	1.0	0.999	25	308	308	308	27	13	21	25	27	22	34	31	35	25	24	24	27	13	21	25	27	22	34	31	35	25	24	24	27	13	21	25	27	22	34	31	35	25	24	24	2.3642142E8	1.7986024E8	2.2489712E8	2.186095E8	2.7962605E8	2.0955304E8	3.6499638E8	2.5623418E8	5.3950086E8	2.0351706E8	1.7637818E8	1.9009808E8	4.888226E7	4.2119668E7	4.9632092E7	4.4719468E7	5.0888844E7	5.2046108E7	6.985714E7	6.303581E7	1.0265018E8	4.4005308E7	4.0078308E7	4.436482E7	
AIPGENE10511	AIPGENE10511	AIPGENE10511		297			AIPGENE10511	1.0	0.994	2	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10518	AIPGENE10518	AIPGENE10518		514			AIPGENE10518	1.0	0.999	13	60	60	60	12	3	7	15	14	9	0	0	0	0	0	0	12	3	7	15	14	9	0	0	0	0	0	0	12	3	7	15	14	9	0	0	0	0	0	0	1.6864828E7	4.598115E7	3.9465136E7	8.3386504E7	5.371638E7	4.53961E7	0.0	0.0	0.0	0.0	0.0	0.0	1.0692591E7	1.2290207E7	1.1695141E7	1.5330338E7	1.2510964E7	1.236465E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10519	AIPGENE10519	AIPGENE10519		700			AIPGENE10519	1.0	0.9988	2	21	21	21	4	2	3	1	2	2	1	2	1	0	2	1	4	2	3	1	2	2	1	2	1	0	2	1	4	2	3	1	2	2	1	2	1	0	2	1	3.517528E7	2.3008502E7	2.1997684E7	1.5781949E7	1.5080102E7	1.5266156E7	2.0032168E7	1.6001048E7	2.19657E7	0.0	9164789.0	1.0859627E7	2.8314304E7	0.0	1.7459482E7	0.0	0.0	0.0	1.3274664E7	0.0	0.0	0.0	0.0	0.0	
AIPGENE1052	AIPGENE1052	AIPGENE1052		258			AIPGENE1052	0.828	0.9944	1	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1575206.1	1011244.25	1393089.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10527	AIPGENE10527	AIPGENE10527		702			AIPGENE10527	1.0	0.999	8	38	38	38	13	2	3	6	11	3	0	0	0	0	0	0	13	2	3	6	11	3	0	0	0	0	0	0	13	2	3	6	11	3	0	0	0	0	0	0	6.4461916E7	1.8977666E7	3.2904426E7	2.9496754E7	1.1653324E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7455916E7	1.267734E7	2.577591E7	1.5870955E7	4.5311804E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10529	AIPGENE10529	AIPGENE10529		715			AIPGENE10529	1.0	0.9986	4	19	0	19	3	1	4	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	5	5	1	0	0	0	0	0	0	1252730.5	4624854.5	8367369.0	1.088286E7	8084905.0	5315205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3925139.0	5578620.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10530
AIPGENE10532	AIPGENE10532	AIPGENE10532		649			AIPGENE10532	1.0	0.999	4	28	28	28	9	1	5	8	3	2	0	0	0	0	0	0	9	1	5	8	3	2	0	0	0	0	0	0	9	1	5	8	3	2	0	0	0	0	0	0	2.1194356E7	1.2557433E7	1.8389376E7	3.5442376E7	2.949699E7	9780459.0	0.0	0.0	0.0	0.0	0.0	0.0	9680479.0	0.0	1.3310334E7	2.0691252E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10535	AIPGENE10535	AIPGENE10535		525			AIPGENE10535	1.0	0.999	15	79	0	79	13	17	6	20	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	6	20	15	8	0	0	0	0	0	0	3.5214216E7	7.869756E7	5.654629E7	8.351801E7	6.0127788E7	4.50657E7	0.0	0.0	0.0	0.0	0.0	0.0	1.8715728E7	4.3294416E7	2.9471942E7	2.9970872E7	2.2149616E7	1.8908268E7	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE10536
AIPGENE10541	AIPGENE10541	AIPGENE10541		517			AIPGENE10541	0.8488	0.9952	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10546	AIPGENE10546	AIPGENE10546		1922			AIPGENE10546	0.9999	0.9978	2	5	5	5	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	3381741.5	0.0	0.0	5251394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10560	AIPGENE10560	AIPGENE10560		813			AIPGENE10560	0.9999	0.9986	1	5	5	5	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1.5105149E7	1.8413076E7	1.2072144E7	8476135.0	7814131.0	1.5374434E7	0.0	0.0	0.0	0.0	0.0	0.0	1.1857429E7	1.4135073E7	7213275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10564	AIPGENE10564	AIPGENE10564		215			AIPGENE10564	1.0	0.9989	6	80	80	80	6	4	6	6	8	5	9	10	7	5	7	7	6	4	6	6	8	5	9	10	7	5	7	7	6	4	6	6	8	5	9	10	7	5	7	7	3.2455586E7	1.486295E7	2.335494E7	4.759286E7	3.510727E7	2.728702E7	7.6910504E7	6.118885E7	9.584514E7	3.5471056E7	4.2147856E7	2.5868802E7	1.0716033E7	8516109.0	8705352.0	1.5379252E7	1.3282945E7	9840554.0	1.9924934E7	2.442544E7	3.4870276E7	1.352735E7	1.3174092E7	1.5002719E7	
AIPGENE10584	AIPGENE10584	AIPGENE10584		443			AIPGENE10584	0.7977	0.9931	1	3	3	3	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10586	AIPGENE10586	AIPGENE10586		193			AIPGENE10586	1.0	0.999	14	70	70	119	13	10	8	15	12	12	0	0	0	0	0	0	13	10	8	15	12	12	0	0	0	0	0	0	19	17	16	23	19	17	1	1	2	1	2	1	6.132428E7	7.780588E7	7.251623E7	8.163185E7	4.6157236E7	4.6166428E7	0.0	0.0	0.0	0.0	0.0	0.0	2.540249E7	2.3475192E7	1.8224134E7	2.3843096E7	1.6970708E7	1.9312282E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10587	AIPGENE10587	AIPGENE10587		244			AIPGENE10587	1.0	0.999	23	202	202	260	43	30	23	38	31	25	3	2	2	2	1	2	43	30	23	38	31	25	3	2	2	2	1	2	51	37	32	49	41	30	4	3	4	3	3	3	8.433714E8	6.554734E8	6.391378E8	8.511606E8	5.99309E8	5.1505946E8	3.5409684E7	2.8789288E7	5.6828304E7	1.1076397E7	9631075.0	9841282.0	2.8852787E8	2.3377251E8	2.3012605E8	3.0810963E8	2.0467349E8	2.0597027E8	2.3575688E7	1.9161054E7	7.041922E7	0.0	0.0	0.0	
AIPGENE10606	AIPGENE10606	AIPGENE10606		244			AIPGENE10606	1.0	0.999	16	95	95	153	18	18	12	14	16	10	2	1	0	2	1	1	18	18	12	14	16	10	2	1	0	2	1	1	26	25	21	25	26	15	3	2	2	3	3	2	2.8943798E8	1.9536106E8	2.2131216E8	2.4063314E8	1.873756E8	1.6297106E8	1.5981808E7	1.6215603E7	0.0	8783578.0	7313972.0	1.6960174E7	1.7923987E8	1.0767122E8	1.019545E8	1.3621272E8	9.730816E7	1.1219586E8	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10618	AIPGENE10618	AIPGENE10618		234			AIPGENE10618	1.0	0.999	21	266	208	266	69	27	42	46	45	29	1	1	2	1	2	1	61	20	33	35	35	24	0	0	0	0	0	0	69	27	42	46	45	29	1	1	2	1	2	1	2.2949379E9	2.540701E9	1.8073356E9	2.495124E9	2.0403711E9	2.574507E9	1.3953838E7	0.0	6.935643E7	1.5052843E7	1.0894363E7	1.1206349E7	1.0749216E9	1.02206605E9	7.6635674E8	1.1334002E9	8.4321504E8	9.456095E8	0.0	0.0	2.2949646E8	0.0	0.0	0.0	
AIPGENE10619	AIPGENE10619	AIPGENE10619		396			AIPGENE10619	1.0	0.9989	4	18	18	18	7	3	1	2	3	2	0	0	0	0	0	0	7	3	1	2	3	2	0	0	0	0	0	0	7	3	1	2	3	2	0	0	0	0	0	0	1.5060642E7	6290260.0	7355627.0	3242027.8	5723663.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3869902.0	4120190.8	4754879.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE10623	AIPGENE10623	AIPGENE10623		567			AIPGENE10623	1.0	0.9989	12	32	14	106	6	5	6	6	4	5	0	0	0	0	0	0	3	2	1	3	2	3	0	0	0	0	0	0	18	13	12	24	25	14	0	0	0	0	0	0	6.91797E7	6.5564584E7	6.869182E7	7.779672E7	5.5717544E7	7.4295496E7	0.0	0.0	0.0	0.0	0.0	0.0	3.6473668E7	3.439552E7	3.6158424E7	4.092853E7	2.9305378E7	3.9162196E7	0.0	0.0	0.0	0.0	0.0	0.0	
AIPGENE1063	AIPGENE1063	AIPGENE1063		951			AIPGENE1063	0.7591	0.9914	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIPGENE14804, AIPGENE23674, AIPGENE25497, AIPGENE7709
AIPGENE10649	AIPGENE10649	AIPGENE10649		252			AIPGENE10649	1.0	0.9951	3	6	6	6	1	1	1	2	1	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	4591504.0	5875980.5	9699027.0	0.0	1.0321005E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
